sexo;cargo;estado;regiao;identificacaoCurso;anoCurso;seqAnoCurso;categoriaCurso;idadeAluno;anosExercicio;situacaoAluno
M;1;7;3;104;2022;1;4;55;8;REPROVADO
F;1;7;3;104;2022;1;4;51;16;REPROVADO
F;3;7;3;104;2022;1;4;42;17;REPROVADO
F;1;7;3;104;2022;1;4;44;18;REPROVADO
F;1;7;3;104;2022;1;4;33;8;REPROVADO
F;3;7;3;104;2022;1;4;49;16;REPROVADO
M;2;23;5;104;2022;1;4;26;;APROVADO
M;2;10;2;104;2022;1;4;30;;APROVADO
M;2;21;1;104;2022;1;4;37;;APROVADO
M;2;14;1;104;2022;1;4;28;;APROVADO
F;2;7;3;104;2022;1;4;33;;APROVADO
M;2;23;5;104;2022;1;4;28;;APROVADO
M;2;3;1;104;2022;1;4;32;;APROVADO
M;2;3;1;104;2022;1;4;32;;APROVADO
M;2;12;3;104;2022;1;4;28;;APROVADO
M;2;3;1;104;2022;1;4;27;;APROVADO
M;2;13;3;104;2022;1;4;48;;APROVADO
M;2;1;1;104;2022;1;4;28;;APROVADO
M;2;21;1;104;2022;1;4;30;;APROVADO
M;2;19;4;104;2022;1;4;26;;APROVADO
M;2;23;5;104;2022;1;4;29;;APROVADO
M;2;1;1;104;2022;1;4;34;;APROVADO
M;2;7;3;104;2022;1;4;28;;APROVADO
M;2;19;4;104;2022;1;4;27;;APROVADO
F;2;1;1;104;2022;1;4;34;;APROVADO
M;2;7;3;104;2022;1;4;33;;APROVADO
M;2;21;1;104;2022;1;4;32;;APROVADO
M;2;23;5;104;2022;1;4;28;;APROVADO
M;2;26;4;104;2022;1;4;29;;APROVADO
F;2;10;2;104;2022;1;4;32;;APROVADO
F;2;14;1;104;2022;1;4;21;;APROVADO
M;2;22;1;104;2022;1;4;34;;APROVADO
F;2;14;1;104;2022;1;4;31;;APROVADO
F;2;1;1;104;2022;1;4;34;;APROVADO
F;2;19;4;104;2022;1;4;26;;APROVADO
M;2;13;3;104;2022;1;4;33;;APROVADO
M;2;12;3;104;2022;1;4;31;;APROVADO
M;2;12;3;104;2022;1;4;27;;APROVADO
M;2;4;1;104;2022;1;4;30;;APROVADO
M;2;14;1;104;2022;1;4;33;;APROVADO
M;2;21;1;104;2022;1;4;26;;APROVADO
M;2;23;5;104;2022;1;4;29;;APROVADO
M;2;14;1;104;2022;1;4;25;;APROVADO
M;2;14;1;104;2022;1;4;39;;APROVADO
M;2;13;3;104;2022;1;4;28;;APROVADO
M;2;10;2;104;2022;1;4;33;;APROVADO
M;2;7;3;104;2022;1;4;32;;APROVADO
F;2;1;1;104;2022;1;4;31;;APROVADO
F;2;14;1;104;2022;1;4;31;;APROVADO
M;2;23;5;104;2022;1;4;30;;APROVADO
F;2;1;1;104;2022;1;4;27;;APROVADO
F;2;1;1;104;2022;1;4;35;;APROVADO
M;2;13;3;104;2022;1;4;29;;REPROVADO
M;2;22;1;104;2022;1;4;28;;APROVADO
M;2;26;4;104;2022;1;4;32;;APROVADO
M;2;21;1;104;2022;1;4;25;;APROVADO
M;2;9;3;104;2022;1;4;30;;APROVADO
M;2;13;3;104;2022;1;4;26;;APROVADO
F;2;26;4;104;2022;1;4;40;;APROVADO
M;2;14;1;104;2022;1;4;25;;APROVADO
M;2;7;3;104;2022;1;4;25;;APROVADO
F;2;1;1;104;2022;1;4;38;;APROVADO
F;2;3;1;104;2022;1;4;27;;APROVADO
F;2;3;1;104;2022;1;4;31;;APROVADO
F;2;3;1;104;2022;1;4;28;;APROVADO
M;2;23;5;104;2022;1;4;26;;APROVADO
M;2;3;1;104;2022;1;4;27;;APROVADO
F;2;3;1;104;2022;1;4;27;;APROVADO
M;2;10;2;104;2022;1;4;38;;APROVADO
M;2;27;1;104;2022;1;4;28;;APROVADO
M;2;12;3;104;2022;1;4;26;;APROVADO
M;2;3;1;104;2022;1;4;27;;APROVADO
M;2;26;4;104;2022;1;4;29;;APROVADO
M;2;21;1;104;2022;1;4;38;;APROVADO
M;2;3;1;104;2022;1;4;31;;APROVADO
M;2;19;4;104;2022;1;4;25;;APROVADO
M;2;23;5;104;2022;1;4;23;;APROVADO
M;2;27;1;104;2022;1;4;33;;APROVADO
M;2;14;1;104;2022;1;4;27;;APROVADO
M;2;13;3;104;2022;1;4;28;;APROVADO
M;2;19;4;104;2022;1;4;42;;APROVADO
M;2;14;1;104;2022;1;4;25;;APROVADO
M;2;7;3;104;2022;1;4;24;;APROVADO
M;2;13;3;104;2022;1;4;33;8;APROVADO
M;2;4;1;104;2022;1;4;35;;APROVADO
M;2;22;1;104;2022;1;4;28;;APROVADO
M;2;14;1;104;2022;1;4;23;;APROVADO
M;2;7;3;104;2022;1;4;29;;APROVADO
M;2;14;1;104;2022;1;4;30;;APROVADO
M;2;7;3;104;2022;1;4;30;;APROVADO
M;2;19;4;104;2022;1;4;27;;APROVADO
M;2;13;3;104;2022;1;4;29;;APROVADO
M;2;22;1;104;2022;1;4;36;;APROVADO
M;2;27;1;104;2022;1;4;29;;APROVADO
M;2;3;1;104;2022;1;4;29;;APROVADO
M;2;3;1;104;2022;1;4;28;;APROVADO
M;2;12;3;104;2022;1;4;26;;APROVADO
F;2;12;3;104;2022;1;4;28;;APROVADO
F;2;14;1;104;2022;1;4;28;;APROVADO
F;2;14;1;104;2022;1;4;29;;APROVADO
F;2;14;1;104;2022;1;4;31;;APROVADO
M;2;12;3;104;2022;1;4;30;;APROVADO
M;2;18;5;104;2022;1;4;33;;REPROVADO
M;2;14;1;104;2022;1;4;37;;APROVADO
M;2;7;3;104;2022;1;4;24;;APROVADO
M;2;27;1;104;2022;1;4;31;;APROVADO
M;2;19;4;104;2022;1;4;29;;APROVADO
M;2;1;1;104;2022;1;4;27;;APROVADO
M;2;21;1;104;2022;1;4;26;;APROVADO
M;2;14;1;104;2022;1;4;27;;APROVADO
M;2;21;1;104;2022;1;4;36;;APROVADO
M;2;14;1;104;2022;1;4;27;;APROVADO
F;2;1;1;104;2022;1;4;40;;APROVADO
M;2;26;4;104;2022;1;4;31;;APROVADO
M;2;23;5;104;2022;1;4;31;;APROVADO
M;2;7;3;104;2022;1;4;41;;APROVADO
F;2;1;1;104;2022;1;4;24;;APROVADO
M;2;21;1;104;2022;1;4;32;;APROVADO
M;2;12;3;104;2022;1;4;29;;APROVADO
M;2;21;1;104;2022;1;4;27;;APROVADO
M;2;14;1;104;2022;1;4;26;;APROVADO
M;2;26;4;104;2022;1;4;31;;APROVADO
M;2;12;3;104;2022;1;4;28;;APROVADO
M;2;27;1;104;2022;1;4;30;;APROVADO
M;2;7;3;104;2022;1;4;33;;APROVADO
F;2;14;1;104;2022;1;4;23;;APROVADO
F;2;14;1;104;2022;1;4;46;;APROVADO
F;2;11;4;104;2022;1;4;43;;APROVADO
M;2;14;1;104;2022;1;4;39;;APROVADO
M;2;21;1;104;2022;1;4;27;;APROVADO
M;2;14;1;104;2022;1;4;25;;APROVADO
M;2;3;1;104;2022;1;4;31;;APROVADO
M;2;7;3;104;2022;1;4;26;;APROVADO
M;2;3;1;104;2022;1;4;37;;APROVADO
F;2;3;1;104;2022;1;4;30;;REPROVADO
F;2;19;4;104;2022;1;4;31;;APROVADO
M;2;21;1;104;2022;1;4;26;;APROVADO
F;2;4;1;104;2022;1;4;28;;APROVADO
M;2;7;3;104;2022;1;4;27;;APROVADO
M;2;23;5;104;2022;1;4;32;;APROVADO
M;2;4;1;104;2022;1;4;39;;APROVADO
M;2;23;5;104;2022;1;4;33;;APROVADO
M;2;21;1;104;2022;1;4;29;;APROVADO
M;2;21;1;104;2022;1;4;33;;APROVADO
M;2;10;2;104;2022;1;4;25;;APROVADO
M;2;21;1;104;2022;1;4;24;;APROVADO
M;2;1;1;104;2022;1;4;27;;APROVADO
M;2;3;1;104;2022;1;4;33;;APROVADO
M;2;1;1;104;2022;1;4;23;;APROVADO
M;2;7;3;104;2022;1;4;33;;APROVADO
M;2;22;1;104;2022;1;4;27;;APROVADO
M;2;26;4;104;2022;1;4;38;;APROVADO
M;2;1;1;104;2022;1;4;30;;APROVADO
M;2;21;1;104;2022;1;4;32;;APROVADO
M;2;21;1;104;2022;1;4;29;;APROVADO
M;2;14;1;104;2022;1;4;22;;APROVADO
M;2;23;5;104;2022;1;4;40;;APROVADO
M;2;5;2;104;2022;1;4;32;;APROVADO
M;2;1;1;104;2022;1;4;42;;APROVADO
M;2;26;4;104;2022;1;4;29;;APROVADO
F;2;3;1;104;2022;1;4;26;;APROVADO
M;2;10;2;104;2022;1;4;30;;APROVADO
M;2;1;1;104;2022;1;4;38;;APROVADO
M;2;14;1;104;2022;1;4;35;;APROVADO
M;2;13;3;104;2022;1;4;29;;APROVADO
M;2;1;1;104;2022;1;4;31;;APROVADO
M;2;10;2;104;2022;1;4;24;;APROVADO
M;2;7;3;104;2022;1;4;29;;APROVADO
F;2;12;3;104;2022;1;4;26;;APROVADO
M;2;21;1;104;2022;1;4;31;;APROVADO
F;2;3;1;104;2022;1;4;29;;APROVADO
M;2;21;1;104;2022;1;4;42;;APROVADO
M;2;22;1;104;2022;1;4;28;;APROVADO
M;2;12;3;104;2022;1;4;27;;APROVADO
M;2;7;3;104;2022;1;4;33;;APROVADO
M;2;3;1;104;2022;1;4;35;;APROVADO
M;2;14;1;104;2022;1;4;33;;APROVADO
M;2;26;4;104;2022;1;4;31;;APROVADO
M;2;14;1;104;2022;1;4;34;;APROVADO
M;2;12;3;104;2022;1;4;28;;APROVADO
M;2;21;1;104;2022;1;4;25;;APROVADO
M;2;7;3;104;2022;1;4;26;;APROVADO
M;2;23;5;104;2022;1;4;31;;APROVADO
M;2;4;1;104;2022;1;4;26;;APROVADO
M;2;13;3;104;2022;1;4;29;;APROVADO
M;2;19;4;104;2022;1;4;38;;APROVADO
M;2;23;5;104;2022;1;4;28;;APROVADO
M;2;1;1;104;2022;1;4;42;;APROVADO
M;2;12;3;104;2022;1;4;32;;APROVADO
M;2;21;1;104;2022;1;4;29;;APROVADO
M;2;10;2;104;2022;1;4;33;;APROVADO
M;2;14;1;104;2022;1;4;31;;APROVADO
M;2;12;3;104;2022;1;4;36;16;APROVADO
M;2;7;3;104;2022;1;4;31;;APROVADO
M;2;23;5;104;2022;1;4;28;;APROVADO
M;2;23;5;104;2022;1;4;30;;APROVADO
M;2;10;2;104;2022;1;4;30;;APROVADO
F;2;12;3;104;2022;1;4;31;;APROVADO
F;2;14;1;104;2022;1;4;35;;APROVADO
F;2;26;4;104;2022;1;4;;;APROVADO
M;2;1;1;104;2022;1;4;27;;APROVADO
M;2;7;3;104;2022;1;4;30;;APROVADO
M;2;1;1;104;2022;1;4;33;;APROVADO
M;2;9;3;104;2022;1;4;31;;APROVADO
M;2;3;1;104;2022;1;4;27;;APROVADO
M;2;23;5;104;2022;1;4;30;;APROVADO
F;2;26;4;104;2022;1;4;28;;APROVADO
M;2;13;3;104;2022;1;4;28;;APROVADO
M;2;7;3;104;2022;1;4;28;;REPROVADO
M;2;23;5;104;2022;1;4;26;;APROVADO
M;2;26;4;104;2022;1;4;27;;APROVADO
M;2;4;1;104;2022;1;4;27;;APROVADO
M;2;7;3;104;2022;1;4;29;;APROVADO
M;2;9;3;104;2022;1;4;30;;APROVADO
M;2;7;3;104;2022;1;4;30;;APROVADO
F;2;7;3;104;2022;1;4;;;APROVADO
M;2;22;1;104;2022;1;4;29;;APROVADO
M;2;1;1;104;2022;1;4;27;;APROVADO
M;2;3;1;104;2022;1;4;26;;APROVADO
M;2;7;3;104;2022;1;4;23;;APROVADO
M;2;3;1;104;2022;1;4;25;;APROVADO
M;2;23;5;104;2022;1;4;23;;APROVADO
M;2;23;5;104;2022;1;4;27;;APROVADO
M;2;12;3;104;2022;1;4;21;;APROVADO
M;2;9;3;104;2022;1;4;25;;APROVADO
M;2;12;3;104;2022;1;4;27;;APROVADO
M;2;22;1;104;2022;1;4;32;;APROVADO
M;2;22;1;104;2022;1;4;29;;APROVADO
M;2;23;5;104;2022;1;4;31;;APROVADO
M;2;26;4;104;2022;1;4;32;;APROVADO
M;2;19;4;104;2022;1;4;31;;APROVADO
M;2;3;1;104;2022;1;4;26;;APROVADO
M;2;3;1;104;2022;1;4;38;;APROVADO
M;2;19;4;104;2022;1;4;38;;APROVADO
M;2;1;1;104;2022;1;4;27;;APROVADO
M;2;7;3;104;2022;1;4;28;;APROVADO
M;2;26;4;104;2022;1;4;29;;APROVADO
M;2;12;3;104;2022;1;4;28;;APROVADO
M;2;13;3;104;2022;1;4;29;;APROVADO
M;2;21;1;104;2022;1;4;27;;APROVADO
F;2;7;3;104;2022;1;4;26;;APROVADO
M;2;4;1;104;2022;1;4;26;;APROVADO
M;2;7;3;104;2022;1;4;28;;APROVADO
M;2;7;3;104;2022;1;4;29;;APROVADO
M;2;21;1;104;2022;1;4;26;;APROVADO
M;2;22;1;104;2022;1;4;27;;APROVADO
M;2;12;3;104;2022;1;4;24;;APROVADO
M;2;12;3;104;2022;1;4;26;;APROVADO
F;2;3;1;104;2022;1;4;27;;APROVADO
M;2;21;1;104;2022;1;4;31;;APROVADO
M;2;7;3;104;2022;1;4;29;;APROVADO
M;2;7;3;104;2022;1;4;35;;APROVADO
M;2;7;3;104;2022;1;4;32;;APROVADO
M;2;1;1;104;2022;1;4;29;;APROVADO
F;2;7;3;104;2022;1;4;26;;APROVADO
M;2;3;1;104;2022;1;4;35;;APROVADO
M;2;13;3;104;2022;1;4;27;;APROVADO
M;2;13;3;104;2022;1;4;26;;APROVADO
F;2;1;1;104;2022;1;4;29;;APROVADO
M;2;14;1;104;2022;1;4;33;;APROVADO
M;2;7;3;104;2022;1;4;41;;APROVADO
M;2;4;1;104;2022;1;4;41;;APROVADO
M;2;4;1;104;2022;1;4;24;;APROVADO
M;2;7;3;104;2022;1;4;27;;APROVADO
M;2;22;1;104;2022;1;4;33;;APROVADO
M;2;7;3;104;2022;1;4;31;;APROVADO
M;2;4;1;104;2022;1;4;27;;APROVADO
M;2;1;1;104;2022;1;4;23;;APROVADO
F;2;4;1;104;2022;1;4;34;;APROVADO
M;2;3;1;104;2022;1;4;30;;APROVADO
M;2;3;1;104;2022;1;4;34;;APROVADO
M;2;3;1;104;2022;1;4;23;;APROVADO
F;2;3;1;104;2022;1;4;26;;APROVADO
M;2;1;1;104;2022;1;4;23;;APROVADO
M;2;7;3;104;2022;1;4;29;;APROVADO
M;2;7;3;104;2022;1;4;36;;APROVADO
M;2;3;1;104;2022;1;4;31;;APROVADO
M;2;12;3;104;2022;1;4;25;;APROVADO
M;2;19;4;104;2022;1;4;30;;APROVADO
M;2;3;1;104;2022;1;4;23;;APROVADO
M;2;4;1;104;2022;1;4;26;;APROVADO
M;2;14;1;104;2022;1;4;28;;APROVADO
M;2;13;3;104;2022;1;4;27;;APROVADO
F;2;4;1;104;2022;1;4;27;;APROVADO
F;2;14;1;104;2022;1;4;28;;APROVADO
M;2;1;1;104;2022;1;4;24;;APROVADO
M;2;19;4;104;2022;1;4;26;;APROVADO
M;2;26;4;104;2022;1;4;30;;APROVADO
M;2;3;1;104;2022;1;4;26;;APROVADO
M;2;1;1;104;2022;1;4;29;;APROVADO
M;2;19;4;104;2022;1;4;31;;APROVADO
M;2;4;1;104;2022;1;4;23;;APROVADO
M;2;14;1;104;2022;1;4;31;;APROVADO
M;2;7;3;104;2022;1;4;27;;APROVADO
M;2;22;1;104;2022;1;4;30;;APROVADO
M;2;12;3;104;2022;1;4;27;;APROVADO
F;2;3;1;104;2022;1;4;36;;APROVADO
M;2;4;1;104;2022;1;4;27;;APROVADO
F;2;14;1;104;2022;1;4;40;;REPROVADO
F;2;12;3;104;2022;1;4;31;;APROVADO
M;2;26;4;104;2022;1;4;23;;APROVADO
M;2;14;1;104;2022;1;4;29;;APROVADO
M;2;10;2;104;2022;1;4;36;;APROVADO
M;2;21;1;104;2022;1;4;30;;APROVADO
M;2;19;4;104;2022;1;4;30;;APROVADO
M;2;3;1;104;2022;1;4;30;;REPROVADO
M;2;7;3;104;2022;1;4;24;;APROVADO
M;2;1;1;104;2022;1;4;29;;APROVADO
M;2;4;1;104;2022;1;4;39;;APROVADO
M;2;9;3;104;2022;1;4;24;;APROVADO
M;2;1;1;104;2022;1;4;22;;APROVADO
M;2;21;1;104;2022;1;4;33;;REPROVADO
M;1;7;3;68;2022;1;4;39;8;REPROVADO
F;3;7;3;68;2022;1;4;46;18;REPROVADO
M;7;19;4;68;2022;1;4;45;17;APROVADO
M;7;7;3;68;2022;1;4;44;17;APROVADO
F;1;7;3;68;2022;1;4;57;8;APROVADO
M;5;7;3;68;2022;1;4;40;8;APROVADO
M;5;7;3;68;2022;1;4;53;19;APROVADO
M;4;14;1;68;2022;1;4;33;;APROVADO
F;2;7;3;68;2022;1;4;42;14;REPROVADO
F;5;18;5;68;2022;1;4;49;;REPROVADO
F;7;5;2;68;2022;1;4;45;;REPROVADO
M;7;24;5;68;2022;1;4;49;17;APROVADO
F;7;18;5;68;2022;1;4;37;9;APROVADO
M;2;7;3;68;2022;1;4;50;16;APROVADO
M;4;7;3;68;2022;1;4;45;20;APROVADO
F;2;7;3;68;2022;1;4;42;19;APROVADO
M;7;7;3;42;2022;1;4;47;15;REPROVADO
M;4;7;3;42;2022;1;4;47;19;REPROVADO
M;4;7;3;42;2022;1;4;42;;REPROVADO
M;4;7;3;42;2022;1;4;41;15;REPROVADO
F;4;26;4;42;2022;1;4;47;18;REPROVADO
M;4;7;3;42;2022;1;4;45;13;REPROVADO
M;2;14;1;42;2022;1;4;36;;APROVADO
M;2;21;1;42;2022;1;4;24;;APROVADO
M;2;26;4;42;2022;1;4;30;;APROVADO
F;0;5;2;42;2022;1;4;;;REPROVADO
F;0;6;2;42;2022;1;4;;;APROVADO
M;2;5;2;42;2022;1;4;26;;APROVADO
F;0;11;4;42;2022;1;4;;;REPROVADO
M;2;14;1;42;2022;1;4;28;;APROVADO
M;2;3;1;42;2022;1;4;29;;APROVADO
M;2;1;1;42;2022;1;4;28;;APROVADO
M;2;23;5;42;2022;1;4;25;;APROVADO
M;2;12;3;42;2022;1;4;32;;APROVADO
M;2;22;1;42;2022;1;4;28;;APROVADO
M;2;22;1;42;2022;1;4;28;;APROVADO
M;2;12;3;42;2022;1;4;30;;APROVADO
M;2;22;1;42;2022;1;4;29;;APROVADO
M;2;12;3;42;2022;1;4;28;;APROVADO
M;2;27;1;42;2022;1;4;33;;APROVADO
M;2;13;3;42;2022;1;4;29;;APROVADO
M;2;12;3;42;2022;1;4;36;;APROVADO
M;2;14;1;42;2022;1;4;29;;APROVADO
M;2;12;3;42;2022;1;4;31;;APROVADO
M;2;5;2;42;2022;1;4;36;;APROVADO
M;2;23;5;42;2022;1;4;31;;APROVADO
M;2;3;1;42;2022;1;4;30;;APROVADO
M;2;21;1;42;2022;1;4;29;;APROVADO
M;2;12;3;42;2022;1;4;31;;APROVADO
M;2;12;3;42;2022;1;4;24;;APROVADO
M;2;14;1;42;2022;1;4;24;;APROVADO
M;2;10;2;42;2022;1;4;28;;APROVADO
M;2;26;4;42;2022;1;4;31;;APROVADO
M;2;12;3;42;2022;1;4;37;;APROVADO
M;2;12;3;42;2022;1;4;31;;APROVADO
M;2;21;1;42;2022;1;4;28;;APROVADO
M;2;21;1;42;2022;1;4;30;;APROVADO
M;2;3;1;42;2022;1;4;33;;APROVADO
M;2;10;2;42;2022;1;4;30;;APROVADO
M;2;23;5;42;2022;1;4;29;;APROVADO
M;2;19;4;42;2022;1;4;35;;APROVADO
M;2;13;3;42;2022;1;4;32;;APROVADO
M;2;13;3;42;2022;1;4;30;;APROVADO
M;2;7;3;42;2022;1;4;32;;APROVADO
F;2;7;3;42;2022;1;4;33;;APROVADO
F;2;7;3;42;2022;1;4;27;;APROVADO
M;2;27;1;42;2022;1;4;32;;APROVADO
F;2;23;5;42;2022;1;4;26;;APROVADO
M;2;7;3;42;2022;1;4;31;;APROVADO
M;2;13;3;42;2022;1;4;34;;APROVADO
M;2;19;4;42;2022;1;4;28;;APROVADO
M;2;7;3;42;2022;1;4;28;;APROVADO
M;2;12;3;42;2022;1;4;34;;APROVADO
M;2;1;1;42;2022;1;4;30;;APROVADO
M;2;14;1;42;2022;1;4;32;;REPROVADO
F;2;14;1;42;2022;1;4;28;;APROVADO
M;2;13;3;42;2022;1;4;26;;APROVADO
M;2;12;3;42;2022;1;4;32;;APROVADO
M;2;22;1;42;2022;1;4;35;;APROVADO
M;2;4;1;42;2022;1;4;33;;APROVADO
M;2;19;4;42;2022;1;4;24;;APROVADO
M;2;23;5;42;2022;1;4;28;;APROVADO
M;2;14;1;42;2022;1;4;33;;APROVADO
M;2;13;3;42;2022;1;4;35;;APROVADO
M;2;22;1;42;2022;1;4;37;;APROVADO
M;2;14;1;42;2022;1;4;31;;APROVADO
F;2;22;1;42;2022;1;4;;;APROVADO
M;2;22;1;42;2022;1;4;31;;APROVADO
M;2;7;3;42;2022;1;4;33;;APROVADO
M;2;21;1;42;2022;1;4;31;;APROVADO
M;2;13;3;42;2022;1;4;25;;APROVADO
M;2;1;1;42;2022;1;4;26;;APROVADO
M;2;22;1;42;2022;1;4;26;;APROVADO
M;2;14;1;42;2022;1;4;32;;APROVADO
M;2;13;3;42;2022;1;4;27;;APROVADO
M;2;13;3;42;2022;1;4;36;;APROVADO
M;2;10;2;42;2022;1;4;40;;APROVADO
M;2;14;1;42;2022;1;4;30;;APROVADO
M;2;14;1;42;2022;1;4;25;;APROVADO
M;2;14;1;42;2022;1;4;30;;APROVADO
F;0;7;3;42;2022;1;4;;;REPROVADO
M;2;10;2;42;2022;1;4;28;;APROVADO
M;2;23;5;42;2022;1;4;33;;APROVADO
F;2;7;3;42;2022;1;4;27;;APROVADO
F;2;3;1;42;2022;1;4;25;;APROVADO
M;2;3;1;42;2022;1;4;26;;APROVADO
M;2;22;1;42;2022;1;4;29;;APROVADO
M;2;14;1;42;2022;1;4;29;;APROVADO
M;2;4;1;42;2022;1;4;25;;APROVADO
F;2;17;2;42;2022;1;4;28;;APROVADO
F;2;14;1;42;2022;1;4;24;;APROVADO
F;2;10;2;42;2022;1;4;33;;APROVADO
F;2;4;1;42;2022;1;4;26;;APROVADO
M;2;22;1;42;2022;1;4;29;;APROVADO
M;2;12;3;42;2022;1;4;33;;APROVADO
M;2;14;1;42;2022;1;4;33;;APROVADO
M;2;22;1;42;2022;1;4;25;;APROVADO
M;2;23;5;42;2022;1;4;30;;APROVADO
M;2;22;1;42;2022;1;4;23;;APROVADO
M;2;14;1;42;2022;1;4;25;;APROVADO
M;2;23;5;42;2022;1;4;25;;APROVADO
M;2;23;5;42;2022;1;4;25;;APROVADO
M;2;21;1;42;2022;1;4;27;;APROVADO
M;2;14;1;42;2022;1;4;29;;APROVADO
M;2;22;1;42;2022;1;4;24;;APROVADO
M;2;13;3;42;2022;1;4;25;;APROVADO
M;2;1;1;42;2022;1;4;28;;APROVADO
M;2;22;1;42;2022;1;4;27;;APROVADO
M;2;23;5;42;2022;1;4;25;;APROVADO
M;2;12;3;42;2022;1;4;25;;APROVADO
F;2;7;3;42;2022;1;4;23;;APROVADO
F;2;13;3;42;2022;1;4;29;;REPROVADO
F;2;14;1;42;2022;1;4;27;;APROVADO
F;2;14;1;42;2022;1;4;28;;APROVADO
M;2;19;4;42;2022;1;4;31;;APROVADO
M;2;7;3;42;2022;1;4;26;;APROVADO
M;2;17;2;42;2022;1;4;27;;APROVADO
M;2;19;4;42;2022;1;4;28;;APROVADO
M;2;3;1;42;2022;1;4;24;;APROVADO
M;2;7;3;42;2022;1;4;28;;APROVADO
M;2;27;1;42;2022;1;4;28;;APROVADO
M;2;7;3;42;2022;1;4;28;;APROVADO
M;2;26;4;42;2022;1;4;32;;APROVADO
M;2;7;3;42;2022;1;4;27;;APROVADO
M;2;19;4;42;2022;1;4;25;;APROVADO
M;2;14;1;42;2022;1;4;27;;APROVADO
M;2;7;3;42;2022;1;4;31;;APROVADO
M;2;3;1;42;2022;1;4;27;;APROVADO
M;2;1;1;42;2022;1;4;31;;APROVADO
M;2;26;4;42;2022;1;4;32;;APROVADO
M;2;1;1;42;2022;1;4;24;;APROVADO
M;2;19;4;42;2022;1;4;30;;APROVADO
M;2;7;3;42;2022;1;4;28;;APROVADO
M;2;21;1;42;2022;1;4;30;;APROVADO
M;2;14;1;42;2022;1;4;27;;APROVADO
M;2;14;1;42;2022;1;4;29;;APROVADO
M;2;1;1;42;2022;1;4;28;;APROVADO
M;2;14;1;42;2022;1;4;25;;APROVADO
M;2;22;1;42;2022;1;4;26;;APROVADO
M;2;23;5;42;2022;1;4;28;;APROVADO
M;2;23;5;42;2022;1;4;35;;APROVADO
F;2;14;1;42;2022;1;4;29;;APROVADO
M;2;23;5;42;2022;1;4;24;;APROVADO
M;2;26;4;42;2022;1;4;24;;APROVADO
M;2;10;2;42;2022;1;4;35;;APROVADO
M;2;14;1;42;2022;1;4;33;;APROVADO
M;2;14;1;42;2022;1;4;26;;APROVADO
M;2;1;1;42;2022;1;4;31;;APROVADO
M;2;10;2;42;2022;1;4;31;;APROVADO
M;2;7;3;42;2022;1;4;24;;APROVADO
M;2;26;4;42;2022;1;4;44;;APROVADO
F;2;10;2;42;2022;1;4;20;;APROVADO
F;2;23;5;42;2022;1;4;26;;APROVADO
F;2;4;1;42;2022;1;4;29;;APROVADO
F;2;1;1;42;2022;1;4;27;;APROVADO
F;2;27;1;42;2022;1;4;32;;APROVADO
M;2;19;4;42;2022;1;4;30;;APROVADO
M;2;12;3;42;2022;1;4;30;;APROVADO
M;2;14;1;42;2022;1;4;29;;APROVADO
